,ID,Heading,Heading Text
0,0,Entry,"This position can be based remotely anywhere in the USA, or based in Tonawanda, NY."
1,0,Position Summary,"This is a unique opportunity to collaborate with a diverse team of technical experts to solve a variety of complex problems in a fun and dynamic environment. With flexibility to use the latest tools and technology, imagination and creativity are the only limitations on your impact!"
2,0,Desired Skills and Experience,
3,0,Basic Requirements,"BS degree in Industrial Engineering, Chemical Engineering, Computer Science, Statistics or Operations Research with a specialization in data science or analytics Excellent analytical and problem-solving skills Passion for technology with a strong emphasis on user experience and business value Ability to succinctly convey complex solutions to business stakeholders and executive leadership Willingness to work in an agile and dynamic environment Availability to travel up to 30%, domestic and international"
4,0,Preferred Qualifications,"MS or higher degree in Industrial Engineering, Chemical Engineering, Computer Science, Statistics or Operations Research with a specialization in data science or analytics 5+ years of relevant industry experience Deep knowledge of machine learning and/or operations research theory with practical development experience Strong programming skills in Python or at least one major programming language Demonstrated ability to follow software development best practices Ability to develop, implement and support production level data science pipelines Experience with APIs and microservices Experience with web application development Experience deploying solutions to cloud providers, preferably Azure Experience designing and using relational databases, NoSQL data stores and data historians Experience with data visualization Experience with Docker and Linux environments"
0,1,Entry,
1,1,Summary,"Imagine what you could do here. At Apple, new ideas have a way of becoming outstanding products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish."
2,1,Key Qualifications,"Practical experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection"
3,1,Description,"• Engage with business teams to find opportunities, understand requirements, and translate those requirements into technical solutions"
4,1,Education & Experience,"• Ph.D. in Computer Science, Machine Learning, Statistics, Operations Research or related field; or"
0,2,Entry,"Lead analytics and measurement efforts for strategic accounts using the LXM approach – e.g., Existing and new promising accounts.Proactively identify and define data and learning opportunities that solve or support client objectives and create visibility to performance and the levers that drive it.Participate in client team scoping and road-mapping to ensure analytics needs are properly planned and are visible to and supported by the client and delivery teams.Develop measurement plans and strategies to provide program insights, address learning objectives and improve program effectiveness.Develop blueprints, learning roadmaps, work proposals, and data strategy presentations that outline solutions that measure against the client’s objectives and provide insights that reveal or empower opportunities for improving performance.Provide thought leadership and act as the subject matter expert in the deployment of data-driven solutions, measurement, and analytics – be familiar with multiple approaches and recommend the one that best drives to the client need.Oversee the full analytics lifecycle from problem identification, solutioning, requirements development, solution creation and results delivery.Write and/or review briefs to external resources that define and specify requirements for more in-depth analytics projects (exploratory, descriptive, and predictive analytics, ML, AI) and lead/oversee the delivery of solutions from the results.Complete the work with a cogent presentation of findings with actionable recommendations.Where needed, apply statistical concepts and techniques to analyze experiments and predict user behavior and behavioral drivers for accuracy and client alignment."
1,2,Perks & Benefits,"Merkle offers a flexible vacation policy, retirement benefits, paid sick leave, generous health, dental and vision insurance options, parental leave, adoption benefits, and more. We recognize high-performers and provide long-term growth opportunities. We hope you'll join us!"
2,2,Desired Skills and Experience,"4+ years’ experience in data science or analytics roles delivering campaign and audience measurement, data-driven insights, predictive modeling, and recommendations to internal or external clients.Ability to articulate analytics expertise through the work of others – by leading technical resources to perform the analyses and leading the client team through recommending, championing, and briefing those analyses.Demonstrated strong presentation and storytelling with data skills. Be able to deliver clear value while simplifying the complexity for business audience and partnering with other disciplines to deliver recommendations.Familiarity and some experience using predictive modeling approaches, including machine learning, AI, clustering, regression, ensemble modeling, and decision trees.Ability to query, manipulate, extract, and analyze structured data from large data repositories to generate actionable insights that deliver business resultsFamiliarity with experimental design and offer testing methodologyExperience with cloud-based big data platforms – e.g., Redshift, Big Query, Teradata.Bachelor’s degree or master’s (preferred) in a quantitative field (STEM or quantitative social sciences) and/or MBA with strong quant background.Strong organizational skills – task prioritization, effective time management, meeting facilitation, conflict resolution, and risk identification/mitigationStrong business skills – understand and identify key business levers and tailor recommendations that tap them.Knowledge of the digital marketing ecosystem and fluency with common web technologies is strongly preferredStrong strategic thinking and prioritization skillsExperience with Power BI or other front-end visualization tool is a plus"
0,3,Entry,
1,3,About Gusto,"Gusto is a modern, online people platform that helps small businesses take care of their teams. On top of full-service payroll, Gusto offers health insurance, 401(k)s, expert HR, and team management tools. Today, Gusto offices in Denver, San Francisco, and New York serve more than 100,000 businesses nationwide."
2,3,Here’s What You’ll Do Day-to-day,"Work closely with product groups to define, measure and report on core product and feature metrics, and to define standards and practices for how product groups work with data Perform in-depth analyses of our Payroll, Benefits and HR product data to inform and guide product direction and strategy Design and analyze customer-facing experiments Work with our business intelligence teams to turn your insights and analyses into clean and consistent reporting Be a strong voice for a data-informed point of view within our engineering, product and design organization Collaborate with UX research to design surveys and provide quantitative insights on customer experience"
3,3,Here’s What We're Looking For,"At least 2 years experience in a similar role, ideally at a product-focused software company Strong SQL skills, and comfortable in at least one scripting or statistical programming language (ideally Python and/or R) Strong knowledge of statistics and experiment design and ability to apply these to conducting and interpreting analyses, data visualization, presentation and recommendations Excellent communicator - able to effectively deliver findings and recommendations to non-technical stakeholders in a clear and compelling fashion Passionate about teaching and evangelizing a data-informed approach to product development to product managers, designers and engineers MS or PhD in a quantitative field + at least 1-2 years experience in a business environment, or BS or Data Science Bootcamp graduate + equivalent experience in a business setting considered"
0,4,Entry,
1,4,Summary,"At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. If you are an ambitious, high-energy individual who is not afraid of challenges, we’re looking for you."
2,4,Key Qualifications,"Demonstrated ability in a Data Scientist or Data Analyst role, preferably from a role passionate about search and discovery. Domain knowledge in music, mobile apps, or video content is a plus."
