,ID,Heading Text,Heading Title,Frequency,Person/Job/Org/None
0,0,"This is a unique opportunity to collaborate with a diverse team of technical experts to solve a variety of complex problems in a fun and dynamic environment. With flexibility to use the latest tools and technology, imagination and creativity are the only limitations on your impact!",position summary,56,Job
1,43,"We are looking for a full time Data Scientist to work on one or more of the areas mentioned above. The Strategic Data Science team is looking to expand on its data science capabilities -- you will have a unique opportunity to be at the forefront of utility industry analytics. In this role you will work as part of cross functional teams, including other Data Scientists, Technology Experts, and Subject Matter Experts to develop data driven solutions. It is the perfect role for someone who would like to continue to build upon their professional experience and gain a comprehensive view of the nation’s most advance smart grid.",position summary,56,Job
2,157,"The Senior Data Analyst is responsible for analyzing medical utilization, clinic outcomes, and financial data; and generating meaningful reports. The Senior Data Analyst’s ultimate goal is to provide data driven support to improve the quality of care and operational efficiency, and to facilitate financial decision making.",position summary,56,Job
3,176,"In this role you'll be working on a team designing, building, and testing the next innovations that will delight millions of listeners. You will have access to billions of hours of music listening history across hundreds of millions of listeners who have provided a hundred billion thumbs on their stations and playlists. And truly unique to SiriusXM + Pandora, you'll be working with extremely rich and diverse interlinked music metadata, including annotations of our expert musicologists with the Music Genome Project's 450+ musical characteristics. With these resources at your fingertips, we want your help to make sure we always pick that perfect next song for our listeners.",position summary,56,Job
4,183,"The Senior Data Analyst is responsible for analyzing medical utilization, clinic outcomes, and financial data; and generating meaningful reports. The Senior Data Analyst’s ultimate goal is to provide data driven support to improve the quality of care and operational efficiency, and to facilitate financial decision making.",position summary,56,Job
5,192,"We are looking for a passionate and analytical individual to apply their knowledge to deliver timely, accurate, and actionable insights to business stakeholders. In this role, you will work closely with Kinesso’s product development teams, business stakeholders, and customers to create cutting-edge visualizations and tell compelling stories with data. As a part of Kinesso’s Product Innovation team, an ideal candidate for this role likes to think outside of the box and find creative solutions to difficult problems.",position summary,56,Job
6,359,"As part of the Foundation, Search, and Voice Science team, you will design and build the next generation of SiriusXM and Pandora’s voice and search experiences. Your contributions will drive content discovery and personalization through voice and search interactions across our mobile apps, third-party devices (e.g., Alexa, Google Home, Roku, etc.), and automotive products.",position summary,56,Job
7,400,,position summary,56,Job
8,415,The Analyst will be part of the Sales Effectiveness team with responsibility for owning and developing reporting and analysis tools. The Analyst will have broad organizational access to support the analytic and reporting needs at all levels of Sales and Risk Management.,position summary,56,Job
9,424,The Analyst will be part of the Sales Effectiveness team with responsibility for owning and developing reporting and analysis tools. The Analyst will have broad organizational access to support the analytic and reporting needs at all levels of Sales and Risk Management.,position summary,56,Job
