,Heading Title,Frequency
1,responsibilities,363
2,qualifications,358
3,job description,211
4,location,190
5,preferred qualifications,166
6,requirements,145
7,what youll do,118
8,job id,111
9,job title,109
10,minimum qualifications,98
11,basic qualifications,93
12,who we are,93
13,about the role,83
14,description,82
15,company description,73
16,who you are,72
17,overview,70
18,about us,69
19,what you’ll do,68
20,position summary,63
21,education,62
22,benefits,60
23,required qualifications,55
24,experience,52
25,summary,52
26,job summary,45
27,key responsibilities,43
28,required skills,40
29,about you,40
30,skills,33
31,about the job,30
32,position overview,30
33,what you will do,29
34,what we offer,28
35,job responsibilities,27
36,preferred skills,27
37,required experience,25
38,the opportunity,25
39,education  experience,25
40,responsibilities include,22
41,job requirements,22
42,preferred,22
43,essential duties and responsibilities,21
44,job type,21
45,key qualifications,20
46,equal employment opportunity statement,20
47,equal employment opportunity,19
48,competitive salary,19
49,what youll be doing,18
50,job level  individual contributor,18
51,what were looking for,18
52,perks,18
53,what we’re looking for,18
54,about the team,18
55,job demands,17
56,equal opportunity employerdisabilityveterans,16
57,educationexperience,16
58,role description,16
59,company overview,15
60,additional requirements,15
61,compensation,15
62,your impact,14
63,learn about life at spotify,14
64,job category,14
65,essential job functions,14
66,wellness perks,13
67,education and experience,13
68,job type  standard,13
69,work environment,13
70,technical skills,13
71,desired qualifications,13
72,perks  benefits,13
73,required,12
74,what youll bring,12
75,primary responsibilities,12
76,job family,12
77,career level,12
78,what you will be doing,11
79,preferred requirements,11
80,job duties,11
81,benefits  perks,11
82,duties and responsibilities,11
83,why join us,11
84,salary and benefits,11
85,what youll need,11
86,your qualifications,11
87,bachelor’s degree required,11
88,work location,10
89,why roblox,10
90,job category  information technology,10
91,position description,10
92,minimum requirements,10
93,what you’ll need,10
94,job description summary,10
95,job schedule  fulltime,10
96,position requirements,10
97,qualificationsrequirements,9
98,skills and experience,9
99,job details,9
100,about goldman sachs,9
101,desired,9
102,supervisory responsibilities,9
103,equal opportunity employer,9
104,desired skills and experience,9
105,physical requirements,9
106,why data science  analytics,8
107,experienced,8
108,roles  responsibilities,8
109,about pinterest,8
110,work you’ll do,8
111,the work,8
112,essential responsibilities,8
113,strong analytical and problemsolving skills,8
114,department description,8
115,what you’ll bring,7
116,basic requirements,7
117,what you’ll be doing,7
118,job overview,7
119,main responsibilities,7
120,what you bring,7
121,primary location,7
122,job function,7
123,pay transparency nondiscrimination provision,7
124,desired skills,7
125,here’s what you need,7
126,desired characteristics,7
127,strong communication and interpersonal skills,7
128,notices,7
129,what we are looking for,7
130,key responsibilities include,7
131,shift  day job,7
132,about nyc health + hospitals,7
133,what we offer you,7
134,education requirements,6
135,about ucsf,6
136,why work for us,6
137,you’ll need to have,6
138,job code and payroll title,6
139,work experience,6
