,Heading Title,Frequency
1,responsibilities,363
2,qualifications,358
3,job description,211
4,location,190
5,preferred qualifications,166
6,requirements,145
7,what youll do,118
8,job id,111
9,job title,109
10,minimum qualifications,98
11,basic qualifications,93
12,who we are,93
13,about the role,83
14,description,82
15,company description,73
16,who you are,72
17,overview,70
18,about us,69
19,what you’ll do,68
20,position summary,63
21,education,62
22,benefits,60
23,required qualifications,55
24,experience,52
25,summary,52
26,job summary,45
27,key responsibilities,43
28,required skills,40
29,about you,40
30,skills,33
31,about the job,30
32,position overview,30
33,what you will do,29
34,what we offer,28
35,preferred skills,27
36,job responsibilities,27
37,required experience,25
38,education  experience,25
39,the opportunity,25
40,preferred,22
41,job requirements,22
42,responsibilities include,22
43,essential duties and responsibilities,21
44,job type,21
45,key qualifications,20
46,equal employment opportunity statement,20
47,equal employment opportunity,19
48,competitive salary,19
49,job level  individual contributor,18
50,about the team,18
51,what were looking for,18
52,what youll be doing,18
53,what we’re looking for,18
54,perks,18
55,job demands,17
56,role description,16
57,educationexperience,16
58,equal opportunity employerdisabilityveterans,16
59,compensation,15
60,additional requirements,15
61,company overview,15
62,job category,14
63,your impact,14
64,learn about life at spotify,14
65,essential job functions,14
66,technical skills,13
67,perks  benefits,13
68,work environment,13
69,desired qualifications,13
70,education and experience,13
71,wellness perks,13
72,job type  standard,13
73,primary responsibilities,12
74,job family,12
75,what youll bring,12
76,career level,12
77,required,12
78,your qualifications,11
79,duties and responsibilities,11
80,what youll need,11
81,why join us,11
82,bachelor’s degree required,11
83,benefits  perks,11
84,salary and benefits,11
85,what you will be doing,11
86,job duties,11
87,preferred requirements,11
88,minimum requirements,10
89,job description summary,10
90,job category  information technology,10
91,what you’ll need,10
92,position requirements,10
93,position description,10
94,job schedule  fulltime,10
95,work location,10
96,why roblox,10
97,desired skills and experience,9
98,desired,9
99,skills and experience,9
100,qualificationsrequirements,9
101,supervisory responsibilities,9
102,physical requirements,9
103,job details,9
104,about goldman sachs,9
105,equal opportunity employer,9
106,the work,8
107,essential responsibilities,8
108,about pinterest,8
109,work you’ll do,8
110,roles  responsibilities,8
111,department description,8
112,strong analytical and problemsolving skills,8
113,why data science  analytics,8
114,experienced,8
115,what we are looking for,7
116,what we offer you,7
117,job function,7
118,key responsibilities include,7
119,primary location,7
120,notices,7
121,shift  day job,7
122,about nyc health + hospitals,7
123,what you bring,7
124,basic requirements,7
125,pay transparency nondiscrimination provision,7
126,what you’ll be doing,7
127,here’s what you need,7
128,desired characteristics,7
129,desired skills,7
130,strong communication and interpersonal skills,7
131,what you’ll bring,7
132,main responsibilities,7
133,job overview,7
134,about ucsf,6
135,work experience,6
136,role overview,6
137,roles and responsibilities,6
138,job family group,6
139,job code and payroll title,6
